METADATA,,,,,,,,,,
title,description,durationMinutes,defaultPenaltySeconds,version,author,license,,,,
La llegenda de la Capitana Rocanegra,"Cerca d'un tresor pirata a Vilanova i la Geltrú. Requereix mapa imprès.

Agraïments a Paula i Sandra per les seves aportacions a la versió inicial.",120,30,1.2,Pep Castelltort,CC BY-NC-SA 4.0,,,,
,,,,,,,,,,
PAGES,,,,,,,,,,
title,content,question,formatHelp,length,options,hint 1,hint 2,hint 3,answer,penaltySeconds
📜 Introducció,"Any 1786.

La Capitana Rocanegra era una pirata que operava entre el Garraf i Mallorca. Els vaixells mercants la temien perquè atacava sense deixar rastre i desapareixia entre les costes rocoses.

Quan va saber que la Marina Reial la perseguia, va desembarcar secretament a Vilanova i va amagar el seu tresor. Però no va deixar la ubicació exacta.

Només un mapa i un quadern de bitàcola.",,,,,,,,,
🗺️ Mapa,"Confirmeu que teniu el mapa ABANS de continuar.

Nota tècnica del mapa: Capa base i imatges generades amb IA. Composició realitzada amb programari lliure GIMP.",,,,,,,,,
❗📝  PRENEU NOTA,"La història de la Capitana succeeix a l'any 1786 i, per tant, és el context històric del quadern de bitàcola integrat en aquest joc. Aquesta és una dada important. 

Durant el joc, viatjarem en el temps i hi haurà referències a fets i llocs de la Vilanova i la Geltrú del passat (de 1786) i del present.

Per aquesta raó, el mapa que teniu a les mans conté ubicacions que no existien al 1786. És una llicència per facilitar la exploració de la ciutat a dia d'avui i guanyar jugabiltat.",,,,,,,,,
🌊 Travessia marítima,"Quadern de bitàcola:

«Sóc Rocanegra. Capitana del Rebentat de Tramuntana.

La meva tripulació i jo hem arribat a la badia de Vilanova al capvespre i hem fondejat fora de l'abast de les torres de guaita. No podem arribar fins la costa amb el Rebentat de Tramuntana perquè cridaríem massa l'atenció i, per això, he decidit desembarcar amb dues membres de la tripulació (una oficial i un mariner), deixant el contramestre a càrrec del vaixell i la resta de la tripulació. 

Ja s'ha fet fosc i hem salpat amb el bot de rems rumb a la costa. Durant el trajecte, ens hem creuat amb un ésser inesperat...»

Quin ésser es va creuar en el camí de la nostra Capitana?",text,"No cal posar articles a la resposta (un/a, el/la, etc).",,,Va ser un animal marí.,Apareix una de color blanc en una novela clàssica.,La novela clàssica és Moby Dick.,/^((la|una) )?balena$/i,
🐋 La balena,"Efectivament, es va creuar amb una balena. Actualment, podem trobar una escultura de balena a la Plaça Trajo del Garbí ubicada gairebé al final de l'espigó que toca la Platja de Ribes Roges.

Dirigiu-vos cap allà. Podreu aprofitar per remullar-vos si fa calor.",,,,,,,,,
ℹ️ Plaça Trajo del Garbí,"El passeig elevat i la font ornamental són dos nous espais de referència per a  la ciutadania a la zona del Trajo Garbí que formem ja part de la identitat de Vilanova  i la Geltrú. 

La font incorpora l'escultura d'una cua de balena per divulgar l'activitat de recerca i d'investigació que es fa a través del Projecte Rorqual amb els cetacis que visiten la costa del Garraf, i contribuir a conscienciar el ciutadà amb el medi ambient. 

Font: Vilanova Turisme (https://www.vilanovaturisme.cat/passeig_elevat_del_port_i_font_ornamental)",,,,,,,,,
🧭 Rumb,"Quadern de bitàcola:

«Hem visualitzat una patrulla de la Marina Reial a la costa i hem navegat darrera la balena, seguint la seva estela per evitar ser detectats.»

Quina direcció va seguir el bot de la Capitana per aproximar-se a la costa?",select,Trieu una opció del deplegable,,Nord|Est|Oest|Sud,Mireu on apunta la cua de la balena.,Invertiu la direcció de la cua de la balena.,,Nord,
🚣‍♀️ Desembarcament,"Tot i que ara us trobeu en terra ferma, recordeu que la Capitana continua a la mar.

Quadern de bitàcola:

«Després de burlar la guàrdia, el mariner ha vist una altra patrulla a la platja i la oficial ha suggerit prendre una ruta alternativa. Finalment, hem aconseguit tocar terra sense ser detectats, deixant el bot ancorat.»

On va desembarcar la Capitana?",number,Indiqueu el número de la ubicació del mapa,,,Cerqueu una àncora al mapa.,No surt a la llegenda de llocs d'interès.,,0,
⚓ Àncora,"Dirigiu-vos al momument amb una àncora ubicat al Passeig Marítim que està a la rotonda que connecta amb la zona del Trajo Garbí on esteu ara mateix. 

No continueu el joc fins haver-hi arribat.",,,,,,,,,
🌚 Negra nit,Era negra nit i la Capitana necessitava quelcom per moure'ns sense sopegar. Què va utilitzar?,text,"No cal posar articles a la resposta (un/a, el/la, etc).",,,Fixeu-vos bé en tots els elements del monument.,Mireu a sobre de l'àncora.,,/^((un|el) )?fanal(et)?$/i,
👤 Contacte local,"Quadern de bitàcola:

«Coneixia un pescador local que ens ajudaria un cop a terra.»

On trobarem el nostre contacte local?",number,Indiqueu el número de la ubicació del mapa,,,Penseu on podem trobar pescadors.,,,16,
